A,1,AA,27,BA,53,CA,79,DA,105,EA,131,FA,157,GA,183,HA,209,IA,235,JA,261,KA,287,LA,313,MA,339,NA,365,OA,391,PA,417,QA,443,RA,469,SA,495,TA,521,UA,547,VA,573,WA,599,XA,625,YA,651,ZA,677
L,12,AL,38,BL,64,CL,90,DL,116,EL,142,FL,168,GL,194,HL,220,IL,246,JL,272,KL,298,LL,324,ML,350,NL,376,OL,402,PL,428,QL,454,RL,480,SL,506,TL,532,UL,558,VL,584,WL,610,XL,636,YL,662,ZL,688
M,13,AM,39,BM,65,CM,91,DM,117,EM,143,FM,169,GM,195,HM,221,IM,247,JM,273,KM,299,LM,325,MM,351,NM,377,OM,403,PM,429,QM,455,RM,481,SM,507,TM,533,UM,559,VM,585,WM,611,XM,637,YM,663,ZM,689
N,14,AN,40,BN,66,CN,92,DN,118,EN,144,FN,170,GN,196,HN,222,IN,248,JN,274,KN,300,LN,326,MN,352,NN,378,ON,404,PN,430,QN,456,RN,482,SN,508,TN,534,UN,560,VN,586,WN,612,XN,638,YN,664,ZN,690
O,15,AO,41,BO,67,CO,93,DO,119,EO,145,FO,171,GO,197,HO,223,IO,249,JO,275,KO,301,LO,327,MO,353,NO,379,OO,405,PO,431,QO,457,RO,483,SO,509,TO,535,UO,561,VO,587,WO,613,XO,639,YO,665,ZO,691
P,16,AP,42,BP,68,CP,94,DP,120,EP,146,FP,172,GP,198,HP,224,IP,250,JP,276,KP,302,LP,328,MP,354,NP,380,OP,406,PP,432,QP,458,RP,484,SP,510,TP,536,UP,562,VP,588,WP,614,XP,640,YP,666,ZP,692
Q,17,AQ,43,BQ,69,CQ,95,DQ,121,EQ,147,FQ,173,GQ,199,HQ,225,IQ,251,JQ,277,KQ,303,LQ,329,MQ,355,NQ,381,OQ,407,PQ,433,QQ,459,RQ,485,SQ,511,TQ,537,UQ,563,VQ,589,WQ,615,XQ,641,YQ,667,ZQ,693
R,18,AR,44,BR,70,CR,96,DR,122,ER,148,FR,174,GR,200,HR,226,IR,252,JR,278,KR,304,LR,330,MR,356,NR,382,OR,408,PR,434,QR,460,RR,486,SR,512,TR,538,UR,564,VR,590,WR,616,XR,642,YR,668,ZR,694
S,19,AS,45,BS,71,CS,97,DS,123,ES,149,FS,175,GS,201,HS,227,IS,253,JS,279,KS,305,LS,331,MS,357,NS,383,OS,409,PS,435,QS,461,RS,487,SS,513,TS,539,US,565,VS,591,WS,617,XS,643,YS,669,ZS,695
T,20,AT,46,BT,72,CT,98,DT,124,ET,150,FT,176,GT,202,HT,228,IT,254,JT,280,KT,306,LT,332,MT,358,NT,384,OT,410,PT,436,QT,462,RT,488,ST,514,TT,540,UT,566,VT,592,WT,618,XT,644,YT,670,ZT,696
U,21,AU,47,BU,73,CU,99,DU,125,EU,151,FU,177,GU,203,HU,229,IU,255,JU,281,KU,307,LU,333,MU,359,NU,385,OU,411,PU,437,QU,463,RU,489,SU,515,TU,541,UU,567,VU,593,WU,619,XU,645,YU,671,ZU,697
V,22,AV,48,BV,74,CV,100,DV,126,EV,152,FV,178,GV,204,HV,230,IV,256,JV,282,KV,308,LV,334,MV,360,NV,386,OV,412,PV,438,QV,464,RV,490,SV,516,TV,542,UV,568,VV,594,WV,620,XV,646,YV,672,ZV,698
W,23,AW,49,BW,75,CW,101,DW,127,EW,153,FW,179,GW,205,HW,231,IW,257,JW,283,KW,309,LW,335,MW,361,NW,387,OW,413,PW,439,QW,465,RW,491,SW,517,TW,543,UW,569,VW,595,WW,621,XW,647,YW,673,ZW,699
X,24,AX,50,BX,76,CX,102,DX,128,EX,154,FX,180,GX,206,HX,232,IX,258,JX,284,KX,310,LX,336,MX,362,NX,388,OX,414,PX,440,QX,466,RX,492,SX,518,TX,544,UX,570,VX,596,WX,622,XX,648,YX,674,ZX,700
Y,25,AY,51,BY,77,CY,103,DY,129,EY,155,FY,181,GY,207,HY,233,IY,259,JY,285,KY,311,LY,337,MY,363,NY,389,OY,415,PY,441,QY,467,RY,493,SY,519,TY,545,UY,571,VY,597,WY,623,XY,649,YY,675,ZY,701
Z,26,AZ,52,BZ,78,CZ,104,DZ,130,EZ,156,FZ,182,GZ,208,HZ,234,IZ,260,JZ,286,KZ,312,LZ,338,MZ,364,NZ,390,OZ,416,PZ,442,QZ,468,RZ,494,SZ,520,TZ,546,UZ,572,VZ,598,WZ,624,XZ,650,YZ,676,ZZ,702
